date,repository_id,repository,category,default_branch,commits_total,first_party_commits,automation_commits,other_commits,workflow_runs_total,workflow_runs_success,workflow_runs_failure,workflow_runs_other
2026-08-28,studio,FAROTECH/orbitfabric-studio,product,main,2,2,0,0,2,2,0,0
2026-08-29,core,FAROTECH/orbitfabric,core,main,0,0,0,0,0,0,0,0
2026-08-29,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-29,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-29,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-29,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,0,0,0,0,0,0,0,0
2026-08-29,studio,FAROTECH/orbitfabric-studio,product,main,0,0,0,0,0,0,0,0
2026-08-30,core,FAROTECH/orbitfabric,core,main,0,0,0,0,0,0,0,0
2026-08-30,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-30,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-30,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-30,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,0,0,0,0,0,0,0,0
2026-08-30,studio,FAROTECH/orbitfabric-studio,product,main,0,0,0,0,0,0,0,0
2026-08-31,core,FAROTECH/orbitfabric,core,main,0,0,0,0,0,0,0,0
2026-08-31,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-31,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-31,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-31,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,0,0,0,0,0,0,0,0
2026-08-31,studio,FAROTECH/orbitfabric-studio,product,main,0,0,0,0,0,0,0,0
2026-09-01,core,FAROTECH/orbitfabric,core,main,1,1,0,0,2,2,0,0
